1;亜;7;Ni;ア
2;哀;9;"Kuchi, Kuchihen";アイ、あわ-れ、あわ-れむ
3;挨;10;Tehen;アイ
4;愛;13;"Kokoro, Risshinben, Shitagokoro";アイ
5;曖;17;"Nichi, Nichihen";アイ
6;悪;11;"Kokoro, Risshinben, Shitagokoro";アク、オ、わる-い
7;握;12;Tehen;アク、にぎ-る
8;圧;5;"Tsuchi, Tsuchihen";アツ
9;扱;6;Tehen;あつか-う
10;宛;8;Ukanmuri;あ-てる
11;嵐;12;"Yama, Yamahen";あらし
12;安;6;Ukanmuri;アン、やす-い
13;案;10;"Ki, Kihen";アン
14;暗;13;"Nichi, Nichihen";アン、くら-い
15;以;5;"Hito, Ninben, Hitoyane";イ
16;衣;6;"Koromo, Koromohen";イ、ころも
17;位;7;"Hito, Ninben, Hitoyane";イ、くらい
18;囲;7;Kunigamae;イ、かこ-む、かこ-う
19;医;7;Kakushigamae;イ
20;依;8;"Hito, Ninben, Hitoyane";イ、[エ]
21;委;8;"Onna, Onnahen";イ、ゆだ-ねる
22;威;9;"Onna, Onnahen";イ
23;為;9;"Hi, Hihen, Renga";イ
24;畏;9;"Ta, Tahen";イ、おそ-れる
25;胃;9;"Niku, Nikuzuki";イ
26;尉;11;Sun;イ
27;異;11;"Ta, Tahen";イ、こと
28;移;11;"Nogi, Nogihen";イ、うつ-る、うつ-す
29;萎;11;Kusakanmuri;イ、な-える
30;偉;12;"Hito, Ninben, Hitoyane";イ、えら-い
31;椅;12;"Ki, Kihen";イ
32;彙;13;Keigashira;イ
33;意;13;"Kokoro, Risshinben, Shitagokoro";イ
34;違;13;Shinnyoo;イ、ちが-う、ちが-える
35;維;14;"Ito, Itohen";イ
36;慰;15;"Kokoro, Risshinben, Shitagokoro";イ、なぐさ-める、なぐさ-む
37;遺;15;Shinnyoo;イ、[ユイ]
38;緯;16;"Ito, Itohen";イ
39;域;11;"Tsuchi, Tsuchihen";イキ
40;育;8;"Niku, Nikuzuki";イク、そだ-つ、そだ-てる、はぐく-む
41;一;1;Ichi;イチ、イツ、ひと、ひと-つ
42;壱;7;Samurai;イチ
43;逸;11;Shinnyoo;イツ
44;茨;9;Kusakanmuri;[いばら]
45;芋;6;Kusakanmuri;いも
46;引;4;"Yumi, Yumihen";イン、ひ-く、ひ-ける
47;印;6;"Fushizukuri, Warifu";イン、しるし
48;因;6;Kunigamae;イン、よ-る
49;咽;9;"Kuchi, Kuchihen";イン
50;姻;9;"Onna, Onnahen";イン
51;員;10;"Kuchi, Kuchihen";イン
52;院;10;Kozatohen;イン
53;淫;11;"Mizu, Sanzui, Shitamizu";イン、みだ-ら
54;陰;11;Kozatohen;イン、かげ、かげ-る
55;飲;12;"Shoku, Shokuhen";イン、の-む
56;隠;14;Kozatohen;イン、かく-す、かく-れる
57;韻;19;Oto;イン
58;右;5;"Kuchi, Kuchihen";ウ、ユウ、みぎ
59;宇;6;Ukanmuri;ウ
60;羽;6;Hane;ウ、は、はね
61;雨;8;"Ame, Amekanmuri";ウ、あめ、[あま]
62;唄;10;"Kuchi, Kuchihen";[うた]
63;鬱;29;"Cho, Nioizake";ウツ
64;畝;10;"Ta, Tahen";うね
65;浦;10;"Mizu, Sanzui, Shitamizu";うら
66;運;12;Shinnyoo;ウン、はこ-ぶ
67;雲;12;"Ame, Amekanmuri";ウン、くも
68;永;5;"Mizu, Sanzui, Shitamizu";エイ、なが-い
69;泳;8;"Mizu, Sanzui, Shitamizu";エイ、およ-ぐ
70;英;8;Kusakanmuri;エイ
71;映;9;"Nichi, Nichihen";エイ、うつ-る、うつ-す、は-える
72;栄;9;"Ki, Kihen";エイ、さか-える、は-え、は-える
73;営;12;Tsukanmuri;エイ、いとな-む
74;詠;12;"Gon, Gonben";エイ、よ-む
75;影;15;Sanzukuri;エイ、かげ
76;鋭;15;"Kane, Kanehen";エイ、するど-い
77;衛;16;Gyoogamae;エイ
78;易;8;"Nichi, Nichihen";エキ、イ、やさ-しい
79;疫;9;Yamaidare;エキ、[ヤク]
80;益;10;Sara;エキ、[ヤク]
81;液;11;"Mizu, Sanzui, Shitamizu";エキ
82;駅;14;"Uma, Umahen";エキ
83;悦;10;"Kokoro, Risshinben, Shitagokoro";エツ
